ProviderID,FirstName,LastName,Specialization,DeptID,NPI
H2-PROV0001,Dakota,Bailey,Emergency Medicine,DEPT014,2638832146
H2-PROV0002,Douglas,Dyer,Dermatology,DEPT012,2258705834
H2-PROV0003,Vickie,Butler,Dermatology,DEPT018,6025624509
H2-PROV0004,Eric,Armstrong,Oncology,DEPT007,4765265085
H2-PROV0005,Gregory,Coleman,General Surgery,DEPT011,0071761112
H2-PROV0006,Christopher,Robinson,Dermatology,DEPT001,6840980350
H2-PROV0007,Gary,King,Neurology,DEPT011,3900097517
H2-PROV0008,Roy,Velez,Dermatology,DEPT005,1100421546
H2-PROV0009,Julia,Burns,General Surgery,DEPT012,7257349558
H2-PROV0010,Adrienne,Clark,Dermatology,DEPT003,0436564127
H2-PROV0011,Abigail,Bullock,General Surgery,DEPT016,1711889970
H2-PROV0012,Angelica,Mayer,General Surgery,DEPT015,2095652539
H2-PROV0013,Jacqueline,Smith,Neurology,DEPT013,3865999883
H2-PROV0014,Roger,Meyers,Cardiology,DEPT016,0405091669
H2-PROV0015,Cody,Stephenson,General Surgery,DEPT016,3714422475
H2-PROV0016,Heather,Lucas,Radiology,DEPT002,9511210642
H2-PROV0017,John,Bailey,Cardiology,DEPT008,9020639145
H2-PROV0018,David,Leonard,Oncology,DEPT018,7529765678
H2-PROV0019,Mary,Gonzales,Cardiology,DEPT006,9246535206
H2-PROV0020,Jonathan,Martinez,Emergency Medicine,DEPT007,0731203886
H2-PROV0021,Tammy,Turner,Orthopedics,DEPT011,9895064703
H2-PROV0022,Sarah,Holland,Oncology,DEPT002,3122169413
H2-PROV0023,Diane,Smith,Oncology,DEPT003,0467828181
H2-PROV0024,Debra,Drake,Radiology,DEPT008,2485086473
H2-PROV0025,Caitlin,Green,Pediatrics,DEPT012,8539205934
H2-PROV0026,Charles,Weber,Oncology,DEPT017,2185756557
H2-PROV0027,Tracie,Ritter,General Surgery,DEPT018,7122659399
H2-PROV0028,Howard,Myers,Orthopedics,DEPT010,6359226498
H2-PROV0029,Stephanie,Malone,Radiology,DEPT006,0429506169
H2-PROV0030,Michelle,Avila,Orthopedics,DEPT016,1835295537
